Configs: FCNs_batch1_epoch50_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-51
Finish cuda loading, time elapsed 0.127589941025
epoch0, iter2360, loss: 1.74775862694
epoch0, iter2361, loss: -2.16488575935
epoch0, iter2370, loss: 1.89941382408
epoch0, iter2371, loss: -1.7397954464
epoch0, iter2380, loss: 2.04259467125
epoch0, iter2381, loss: -3.49662518501
epoch0, iter2390, loss: 1.79020142555
epoch0, iter2391, loss: -2.25623512268
epoch0, iter2400, loss: 1.89574861526
epoch0, iter2401, loss: -2.69390964508
epoch0, iter2410, loss: 2.3014330864
epoch0, iter2411, loss: -2.69793772697
epoch0, iter2420, loss: 2.22530674934
epoch0, iter2421, loss: -2.1381418705
epoch0, iter2430, loss: 2.48010325432
epoch0, iter2431, loss: -2.63051867485
epoch0, iter2440, loss: 1.80909466743
epoch0, iter2441, loss: -1.73732590675
epoch0, iter2450, loss: 2.12619161606
epoch0, iter2451, loss: -2.7915365696
epoch0, iter2460, loss: 2.10238337517
epoch0, iter2461, loss: -2.36255025864
epoch0, iter2470, loss: 1.88483166695
epoch0, iter2471, loss: -2.50468754768
epoch0, iter2480, loss: 1.72166419029
epoch0, iter2481, loss: -1.90923404694
epoch0, iter2490, loss: 2.09014463425
epoch0, iter2491, loss: -2.22314310074
epoch0, iter2500, loss: 2.89779353142
epoch0, iter2501, loss: -2.19581389427
epoch0, iter2510, loss: 2.50187659264
epoch0, iter2511, loss: -2.06709885597
epoch0, iter2520, loss: 2.05060362816
epoch0, iter2521, loss: -2.55275845528
epoch0, iter2530, loss: 2.22411513329
epoch0, iter2531, loss: -2.85183620453
epoch0, iter2540, loss: 1.70111870766
epoch0, iter2541, loss: -1.75332140923
epoch0, iter2550, loss: 2.0731241703
epoch0, iter2551, loss: -1.97773766518
epoch0, iter2560, loss: 2.3982489109
epoch0, iter2561, loss: -2.07776737213
epoch0, iter2570, loss: 1.93663692474
epoch0, iter2571, loss: -2.10951209068
epoch0, iter2580, loss: 2.81179428101
epoch0, iter2581, loss: -2.41280817986
epoch0, iter2590, loss: 1.96870970726
epoch0, iter2591, loss: -3.41390895844
